Params: 	16
Term	Coefficient	Standard Error	Coefficient_Lin	Standard Error_Lin
Intercept	10.376433150780125
1	0.091526384681258	0.0029563418641186	0.062038994237515	0.0014393458982013
2	-0.11584063548015	0.0030055757502774	-0.0841295591515464	0.0021795564045147
3	0.0013850533332375	0.0031836932434956	0.0025576406131517	0.0014763786587512
4	-0.2825686088699821	0.0017467375026565	-0.1892959761919444	0.0015807724807436
5	0.0110909936084436	0.0030565514987744	0.0054969235220251	0.0024072692013256
6	-1.1806490945128	0.0031093638397487	-0.9286729616525292	0.0019571740765769
7	-2.6340833261187173	0.0032354342914745	-2.0945881957814727	0.0019510569000945
8	-0.0016335288600776	0.0032184737901891	0.0022765352735477	0.0021054387126094
9	0.0031628302226664	0.0022430780480283	0.00070630423378	0.0015350633567322
10	0.3201396271855771	0.0033653422562897	0.2339207683150583	0.002767399349187
11	0.0150048020280903	0.0050542013006711	0.0058107371821159	0.0034993097610859
12	-0.2011538204767081	0.0034713823128483	-0.1663092734277843	0.0027001073047746
13	-0.1907608846164868	0.0019790073207514	-0.1299716281116967	0.0011808556928648
14	0.2320814624432513	0.0039145906969692	0.1823176667297981	0.0026799421779602
15	0.0471190928362782	0.003896596340418	0.0293397497313967	0.0027356128070242
